Order_ID,Product,Category,Warehouse,Supplier,Order_Date,Delivery_Date,Quantity,Price_per_Unit,Total_Cost,Delivery_Delay_Days,Spoilage_%
ORD1000,Fruits,Perishable,WH_A,Supplier_Z,2024-01-01,2024-01-03,481,79.34,38162.54,2,1.65
ORD1001,Vegetables,Non-Perishable,WH_C,Supplier_X,2024-01-02,2024-01-04,387,26.65,10313.55,2,3.9
ORD1002,Eggs,Perishable,WH_A,Supplier_Z,2024-01-03,2024-01-05,130,97.72,12703.6,2,7.3
ORD1003,Vegetables,Non-Perishable,WH_B,Supplier_Y,2024-01-04,2024-01-06,134,68.4,9165.6,2,8.82
ORD1004,Vegetables,Perishable,WH_B,Supplier_Z,2024-01-05,2024-01-07,179,5.99,1072.21,2,6.71
ORD1005,Bread,Perishable,WH_A,Supplier_X,2024-01-06,2024-01-08,81,29.26,2370.06,2,2.58
ORD1006,Eggs,Non-Perishable,WH_C,Supplier_X,2024-01-07,2024-01-09,161,29.77,4792.97,2,6.75
ORD1007,Eggs,Perishable,WH_A,Supplier_Z,2024-01-08,2024-01-10,217,11.58,2512.86,2,2.97
ORD1008,Eggs,Perishable,WH_C,Supplier_Z,2024-01-09,2024-01-11,58,96.18,5578.4400000000005,2,7.18
ORD1009,Vegetables,Non-Perishable,WH_B,Supplier_X,2024-01-10,2024-01-12,163,50.43,8220.09,2,9.54
ORD1010,Fruits,Non-Perishable,WH_C,Supplier_Y,2024-01-11,2024-01-13,356,90.1,32075.6,2,7.21
ORD1011,Eggs,Perishable,WH_B,Supplier_Y,2024-01-12,2024-01-14,302,35.61,10754.22,2,8.63
ORD1012,Vegetables,Perishable,WH_C,Supplier_Z,2024-01-13,2024-01-15,77,16.9,1301.3,2,0.02
ORD1013,Bread,Perishable,WH_C,Supplier_Y,2024-01-14,2024-01-16,59,50.06,2953.54,2,7.18
ORD1014,Fruits,Perishable,WH_C,Supplier_X,2024-01-15,2024-01-17,161,15.83,2548.63,2,8.3
ORD1015,Bread,Perishable,WH_A,Supplier_Z,2024-01-16,2024-01-18,28,51.17,1432.76,2,0.41
ORD1016,Fruits,Perishable,WH_A,Supplier_X,2024-01-17,2024-01-19,109,92.43,10074.87,2,8.72
ORD1017,Vegetables,Non-Perishable,WH_B,Supplier_X,2024-01-18,2024-01-20,69,54.47,3758.43,2,2.57
ORD1018,Milk,Non-Perishable,WH_B,Supplier_Y,2024-01-19,2024-01-21,176,63.57,11188.32,2,6.65
ORD1019,Fruits,Non-Perishable,WH_A,Supplier_Z,2024-01-20,2024-01-22,211,19.88,4194.679999999999,2,8.0
ORD1020,Bread,Perishable,WH_B,Supplier_Z,2024-01-21,2024-01-23,354,9.15,3239.1,2,6.63
ORD1021,Vegetables,Perishable,WH_A,Supplier_Y,2024-01-22,2024-01-24,155,15.53,2407.15,2,0.92
ORD1022,Fruits,Perishable,WH_C,Supplier_X,2024-01-23,2024-01-25,412,61.86,25486.32,2,5.96
ORD1023,Milk,Perishable,WH_B,Supplier_X,2024-01-24,2024-01-26,173,14.03,2427.19,2,5.5
ORD1024,Milk,Perishable,WH_B,Supplier_X,2024-01-25,2024-01-27,467,40.72,19016.239999999998,2,9.0
ORD1025,Eggs,Non-Perishable,WH_A,Supplier_X,2024-01-26,2024-01-28,490,57.26,28057.399999999998,2,4.04
ORD1026,Eggs,Perishable,WH_B,Supplier_Z,2024-01-27,2024-01-29,448,41.92,18780.16,2,3.21
ORD1027,Bread,Perishable,WH_B,Supplier_Z,2024-01-28,2024-01-30,251,20.55,5158.05,2,7.5
ORD1028,Fruits,Perishable,WH_C,Supplier_Y,2024-01-29,2024-01-31,78,31.01,2418.78,2,4.13
ORD1029,Fruits,Non-Perishable,WH_B,Supplier_Y,2024-01-30,2024-02-01,184,93.19,17146.96,2,6.46
ORD1030,Eggs,Perishable,WH_C,Supplier_Z,2024-01-31,2024-02-02,58,69.22,4014.7599999999998,2,6.46
ORD1031,Fruits,Perishable,WH_A,Supplier_Z,2024-02-01,2024-02-03,492,52.12,25643.039999999997,2,8.88
ORD1032,Fruits,Perishable,WH_B,Supplier_X,2024-02-02,2024-02-04,117,6.21,726.57,2,5.99
ORD1033,Milk,Non-Perishable,WH_C,Supplier_X,2024-02-03,2024-02-05,235,99.28,23330.8,2,5.02
ORD1034,Eggs,Perishable,WH_A,Supplier_Y,2024-02-04,2024-02-06,170,68.79,11694.300000000001,2,1.39
ORD1035,Vegetables,Non-Perishable,WH_B,Supplier_Z,2024-02-05,2024-02-07,128,35.11,4494.08,2,1.16
ORD1036,Eggs,Non-Perishable,WH_A,Supplier_Y,2024-02-06,2024-02-08,158,88.53,13987.74,2,1.54
ORD1037,Vegetables,Perishable,WH_B,Supplier_Z,2024-02-07,2024-02-09,474,29.55,14006.7,2,1.72
ORD1038,Milk,Perishable,WH_A,Supplier_X,2024-02-08,2024-02-10,159,56.68,9012.12,2,6.38
ORD1039,Bread,Non-Perishable,WH_A,Supplier_Y,2024-02-09,2024-02-11,441,65.43,28854.630000000005,2,7.41
ORD1040,Fruits,Perishable,WH_C,Supplier_Y,2024-02-10,2024-02-12,302,26.0,7852.0,2,5.3
ORD1041,Milk,Perishable,WH_A,Supplier_Z,2024-02-11,2024-02-13,152,97.95,14888.4,2,8.29
ORD1042,Fruits,Non-Perishable,WH_B,Supplier_X,2024-02-12,2024-02-14,428,76.08,32562.239999999998,2,9.91
ORD1043,Bread,Non-Perishable,WH_B,Supplier_Y,2024-02-13,2024-02-15,485,57.99,28125.15,2,8.2
ORD1044,Bread,Non-Perishable,WH_C,Supplier_X,2024-02-14,2024-02-16,464,22.16,10282.24,2,6.95
ORD1045,Milk,Non-Perishable,WH_B,Supplier_Y,2024-02-15,2024-02-17,169,10.12,1710.28,2,5.32
ORD1046,Bread,Perishable,WH_B,Supplier_X,2024-02-16,2024-02-18,20,35.41,708.1999999999999,2,4.49
ORD1047,Vegetables,Perishable,WH_B,Supplier_Z,2024-02-17,2024-02-19,147,76.55,11252.85,2,0.84
ORD1048,Bread,Non-Perishable,WH_A,Supplier_Y,2024-02-18,2024-02-20,466,30.59,14254.94,2,3.99
ORD1049,Fruits,Perishable,WH_A,Supplier_Y,2024-02-19,2024-02-21,87,56.26,4894.62,2,9.1
ORD1050,Fruits,Perishable,WH_B,Supplier_X,2024-02-20,2024-02-22,86,74.15,6376.900000000001,2,8.08
ORD1051,Fruits,Non-Perishable,WH_C,Supplier_X,2024-02-21,2024-02-23,450,15.25,6862.5,2,2.16
ORD1052,Fruits,Perishable,WH_A,Supplier_Y,2024-02-22,2024-02-24,263,70.1,18436.3,2,4.67
ORD1053,Vegetables,Perishable,WH_C,Supplier_Z,2024-02-23,2024-02-25,418,13.73,5739.14,2,8.17
ORD1054,Eggs,Perishable,WH_B,Supplier_X,2024-02-24,2024-02-26,267,96.69,25816.23,2,0.67
ORD1055,Milk,Perishable,WH_B,Supplier_X,2024-02-25,2024-02-27,329,51.4,16910.6,2,3.87
